,,,,Redraft,,Dynasty,Health Report,
Rank,Name,Team,Pos,Underdog,Sleeper,Sleeper,Status,Injury
T350,Adam Gotsis,FA,DT,-,-,-,,
T350,Mason Graham,CLE,DT,-,-,-,,
T350,Kenneth Grant,MIA,DT,-,-,-,,
T350,Aaron Graves,BAL,DT,-,-,-,,
T350,Mike Greene,FA,DT,-,-,-,,
T350,Eric Gregory,NE,DT,-,-,-,,
T350,Jacobian Guillory,LAC,DT,-,-,-,,
T350,Lawrence Guy,FA,DT,-,-,-,,
T350,Aaron Hall,CAR,DT,-,-,-,,
T350,Gabe Hall,PHI,DT,-,-,-,,
T350,Mike Hall,CLE,DT,-,-,-,,
T350,Gracen Halton,SF,DT,-,-,-,Ques,Knee
T350,DaVon Hamilton,JAX,DT,-,-,-,,
T350,Kyonte Hamilton,HOU,DT,-,-,-,Ques,Ankle
T350,Ty Hamilton,LAR,DT,-,-,-,,
T350,Da'Shawn Hand,ATL,DT,-,-,-,,
T350,Johnathan Hankins,FA,DT,-,-,-,Ques,Back
T350,Javon Hargrave,GB,DT,-,-,-,PUP-P,Knee
T350,Derrick Harmon,PIT,DT,-,-,-,,
T350,Jonathan Harris,FA,DT,-,-,-,,
T350,Marcus Harris,KC,DT,-,-,-,,
T350,Shelby Harris,NYG,DT,-,-,-,,
T350,Zxavian Harris,NO,DT,-,-,-,NFI-A,Foot
T350,Jared Harrison-Hunte,CAR,DT,-,-,-,,
T350,Bruce Hector,FA,DT,-,-,-,,
T350,Jack Heflin,NYJ,DT,-,-,-,,
T350,Tonka Hemingway,LV,DT,-,-,-,,
T350,Matt Henningsen,DEN,DT,-,-,-,,
T350,Willie Henry,FA,DT,-,-,-,,
T350,Cameron Heyward,PIT,DT,-,-,-,,
T350,B.J. Hill,CIN,DT,-,-,-,PUP-P,Undisclosed
T350,Trysten Hill,FA,DT,-,-,-,,
T350,Kurt Hinish,FA,DT,-,-,-,Ques,Undisclosed
T350,Timmy Horne,TEN,DT,-,-,-,,
T350,Cam Horsley,ARI,DT,-,-,-,,
T350,Jalen Hunt,JAX,DT,-,-,-,,
T350,Lee Hunter,CAR,DT,-,-,-,,
T350,Alex Huntley,MIA,DT,-,-,-,,
T350,Maurice Hurst,FA,DT,-,-,-,,
T350,Jaylon Hutchings,FA,DT,-,-,-,Ques,Undisclosed
T350,Siaki Ika,FA,DT,-,-,-,,
T350,Tyrion Ingram-Dawkins,MIN,DT,-,-,-,,
T350,Isaiah Iton,NE,DT,-,-,-,,
T350,Coziah Izzard,FA,DT,-,-,-,,
T350,Cam Jackson,CAR,DT,-,-,-,,
T350,Darrell Jackson,NYJ,DT,-,-,-,,
T350,Jordan Jackson,DEN,DT,-,-,-,,
T350,McKinnley Jackson,CIN,DT,-,-,-,,
T350,Bobby Jamison-Travis,NYG,DT,-,-,-,,
T350,Grady Jarrett,CHI,DT,-,-,-,,
T350,Jordan Jefferson,CIN,DT,-,-,-,,
T350,Quinton Jefferson,FA,DT,-,-,-,,
T350,John Jenkins,BAL,DT,-,-,-,,
T350,Kris Jenkins,CIN,DT,-,-,-,Ques,Ankle
T350,Kevin Jobity,PIT,DT,-,-,-,,
T350,Austin Johnson,FA,DT,-,-,-,,
T350,Eric Johnson,MIN,DT,-,-,-,,
T350,Benito Jones,LV,DT,-,-,-,,
T350,Chris Jones,KC,DT,-,-,-,,
T350,D.J. Jones,DEN,DT,-,-,-,,
T350,DaQuan Jones,FA,DT,-,-,-,,
T350,Jayson Jones,TB,DT,-,-,-,,
T350,Justin Jones,FA,DT,-,-,-,Ques,Knee
T350,Naquan Jones,HOU,DT,-,-,-,,
T350,Travis Jones,BAL,DT,-,-,-,PUP-P,Pectoral
T350,Linval Joseph,FA,DT,-,-,-,,
T350,Sebastian Joseph-Day,PIT,DT,-,-,-,,
T350,Sam Kamara,CLE,DT,-,-,-,,
T350,Calijah Kancey,TB,DT,-,-,-,,
T350,Aidan Keanaaina,DET,DT,-,-,-,,
T350,Tim Keenan,LAR,DT,-,-,-,,
T350,Javon Kinlaw,WAS,DT,-,-,-,,
T350,Rene Konga,MIA,DT,-,-,-,,
T350,Jonah Laulu,LV,DT,-,-,-,,
T350,Dexter Lawrence,CIN,DT,-,-,-,,
T350,Jeremiah Ledbetter,FA,DT,-,-,-,,
T350,Logan Lee,PIT,DT,-,-,-,,
T350,Corey Liuget,FA,DT,-,-,-,,
T350,Glen Logan,FA,DT,-,-,-,,
T350,Zion Logue,BUF,DT,-,-,-,,
T350,Roy Lopez,ARI,DT,-,-,-,,
T350,Derrick Lott,FA,DT,-,-,-,,
T350,Jayden Loving,CHI,DT,-,-,-,,
T350,James Lynch,CHI,DT,-,-,-,,
T350,Jeffrey M'Ba,WAS,DT,-,-,-,,
T350,Treven Ma'ae,LV,DT,-,-,-,,
T350,Nnamdi Madubuike,BAL,DT,-,-,-,,
T350,Jackie Marshall,TEN,DT,-,-,-,,
T350,Brodric Martin,ARI,DT,-,-,-,,
T350,Trevon Mason,FA,DT,-,-,-,,
T350,Phidarian Mathis,BUF,DT,-,-,-,,
T350,Devonnsha Maxwell,ATL,DT,-,-,-,,
T350,Terrell McClain,FA,DT,-,-,-,,
T350,Chris McClellan,GB,DT,-,-,-,,
T350,Kayden McDonald,HOU,DT,-,-,-,,
T350,T.Y. McGill,FA,DT,-,-,-,,
T350,DeShawn McKnight,TB,DT,-,-,-,,
T350,Alim McNeill,DET,DT,-,-,-,,
T350,Amari McNeill,KC,DT,-,-,-,,
T350,Christen Miller,NO,DT,-,-,-,Ques,Hamstring
T350,Jordan Miller,DEN,DT,-,-,-,,
T350,Rylie Mills,SEA,DT,-,-,-,,
T350,Larrell Murchison,LAR,DT,-,-,-,,
T350,Byron Murphy,SEA,DT,-,-,-,,
T350,Myles Murphy,FA,DT,-,-,-,,
T350,PJ Mustipher,ARI,DT,-,-,-,IR,Foot
T350,Haggai Ndubuisi,TB,DT,-,-,-,PUP-R,Undisclosed
T350,Jer'Zhan Newton,WAS,DT,-,-,-,,
T350,Bilal Nichols,FA,DT,-,-,-,Ques,Knee
T350,Derrick Nnadi,IND,DT,-,-,-,,
T350,Walter Nolen,ARI,DT,-,-,-,,
T350,Omarr Norman-Lott,KC,DT,-,-,-,PUP-P,Knee - ACL
T350,Bill Norton,LAR,DT,-,-,-,,
T350,Dion Novil,FA,DT,-,-,-,,
T350,Rakeem Nunez-Roches,TB,DT,-,-,-,,
T350,Osa Odighizuwa,SF,DT,-,-,-,Ques,Elbow
T350,Otito Ogbonnia,DAL,DT,-,-,-,,
T350,Larry Ogunjobi,FA,DT,-,-,-,,
T350,Moro Ojomo,PHI,DT,-,-,-,,
T350,CJ Okoye,BAL,DT,-,-,-,,
T350,David Olajiga,BAL,DT,-,-,-,,
T350,Ed Oliver,BUF,DT,-,-,-,,
T350,Levi Onwuzurike,DET,DT,-,-,-,,
T350,Tyler Onyedim,DEN,DT,-,-,-,,
T350,David Onyemata,NYJ,DT,-,-,-,,
T350,Domonique Orange,MIN,DT,-,-,-,,
T350,Ruke Orhorhoro,JAX,DT,-,-,-,,
T350,DeQuinton Osborne,FA,DT,-,-,-,,
T350,Payton Page,NYJ,DT,-,-,-,,
T350,Caeveon Patton,FA,DT,-,-,-,,
T350,Damon Payne,KC,DT,-,-,-,,
T350,Daron Payne,WAS,DT,-,-,-,,
T350,Aeneas Peebles,BAL,DT,-,-,-,,
T350,Jayden Peevy,FA,DT,-,-,-,,
T350,JJ Pegues,LV,DT,-,-,-,,
T350,Kyle Peko,FA,DT,-,-,-,,
T350,Mike Pennel,FA,DT,-,-,-,,
T350,Roderick Perry,FA,DT,-,-,-,,
T350,Jeremiah Pharms,NE,DT,-,-,-,,
T350,Harrison Phillips,NYJ,DT,-,-,-,,
T350,Jordan Phillips,FA,DT,-,-,-,Ques,Ankle
T350,Jordan Phillips,MIA,DT,-,-,-,,
T350,Zacch Pickens,NYG,DT,-,-,-,,
T350,Michael Pierce,FA,DT,-,-,-,,
T350,Brandon Pili,SEA,DT,-,-,-,Ques,Lower Leg
T350,Kaleb Proctor,ARI,DT,-,-,-,IR,Knee - Meniscus
T350,Isaiah Raikes,FA,DT,-,-,-,,
T350,Keith Randolph,FA,DT,-,-,-,Ques,Undisclosed
T350,Sheldon Rankins,HOU,DT,-,-,-,,
T350,DJ Reader,NYG,DT,-,-,-,,
T350,Jalen Redmond,MIN,DT,-,-,-,,
T350,Jarran Reed,SEA,DT,-,-,-,,
T350,Albert Regis,JAX,DT,-,-,-,,
T350,John Ridgeway,NO,DT,-,-,-,,
T350,Jordon Riley,GB,DT,-,-,-,PUP-P,Achilles
T350,Jahvaree Ritzie,MIN,DT,-,-,-,,
T350,Malcolm Roach,DEN,DT,-,-,-,,
T350,Sam Roberts,NYG,DT,-,-,-,,
T350,Roy Robertson-Harris,NYG,DT,-,-,-,PUP-P,Achilles
T350,Landon Robinson,CIN,DT,-,-,-,,
T350,Ty Robinson,PHI,DT,-,-,-,,
T350,Bryce Rodgers,FA,DT,-,-,-,,
T350,Levi Drake Rodriguez,MIN,DT,-,-,-,,
T350,Casey Rogers,NE,DT,-,-,-,,
T350,Justin Rogers,FA,DT,-,-,-,,
T350,Keivie Rose,JAX,DT,-,-,-,,
T350,Jaquelin Roy,FA,DT,-,-,-,,
T350,Gabe Rubio,PIT,DT,-,-,-,,
T350,T.J. Sanders,BUF,DT,-,-,-,,
T350,Khalen Saunders,TEN,DT,-,-,-,,
T350,Tim Settle,WAS,DT,-,-,-,,
T350,Uso Seumalo,SEA,DT,-,-,-,,
T350,Nathan Shepherd,NO,DT,-,-,-,,
T350,Aziz Shittu,FA,DT,-,-,-,,
T350,Zach Sieler,MIA,DT,-,-,-,,
T350,Keeshawn Silver,NO,DT,-,-,-,PUP-P,Undisclosed
T350,Nesta Jade Silvera,FA,DT,-,-,-,,
T350,Elijah Simmons,TB,DT,-,-,-,,
T350,Jeffery Simmons,TEN,DT,-,-,-,,
T350,J.R. Singleton,SEA,DT,-,-,-,,
T350,Jacob Slade,FA,DT,-,-,-,Ques,Undisclosed
T350,T.J. Slaton,CIN,DT,-,-,-,,
T350,Chris Smith,DET,DT,-,-,-,,
T350,Gary Smith,LV,DT,-,-,-,,
T350,Maason Smith,ATL,DT,-,-,-,,
T350,Mazi Smith,NYJ,DT,-,-,-,,
T350,T.J. Smith,FA,DT,-,-,-,,
T350,Tim Smith,IND,DT,-,-,-,,
T350,Nazir Stackhouse,GB,DT,-,-,-,,
T350,Grover Stewart,IND,DT,-,-,-,,
T350,Ben Stille,FA,DT,-,-,-,,
T350,Kentavius Street,CHI,DT,-,-,-,,
T350,Jay'viar Suggs,NO,DT,-,-,-,,
T350,T'Vondre Sweat,NYJ,DT,-,-,-,NFI-A,Hamstring
T350,Junior Tafuna,HOU,DT,-,-,-,,
T350,Taki Taimani,MIN,DT,-,-,-,,
T350,Teair Tart,LAC,DT,-,-,-,,
T350,Laki Tasi,TEN,DT,-,-,-,,
T350,Demetrius Taylor,FA,DT,-,-,-,,
T350,Leonard Taylor,NE,DT,-,-,-,,
T350,Bubba Thomas,SEA,DT,-,-,-,,
T350,Solomon Thomas,TEN,DT,-,-,-,,
T350,Anterio Thompson,ATL,DT,-,-,-,NFI-A,Undisclosed
T350,James Thompson,SF,DT,-,-,-,,
T350,Nick Thurman,FA,DT,-,-,-,,
T350,Jerry Tillery,IND,DT,-,-,-,,
T350,Tommy Togiai,HOU,DT,-,-,-,,
T350,Jay Toia,DAL,DT,-,-,-,,
T350,Dalvin Tomlinson,LAC,DT,-,-,-,,
T350,Khyiris Tonga,KC,DT,-,-,-,,
T350,Jay Tufele,FA,DT,-,-,-,,
T350,Marlon Tuipulotu,FA,DT,-,-,-,,
T350,Josh Tupou,NYG,DT,-,-,-,,
T350,Kobie Turner,LAR,DT,-,-,-,Ques,Undisclosed
T350,Shemar Turner,CHI,DT,-,-,-,PUP-P,Knee - ACL
T350,Shy Tuttle,WAS,DT,-,-,-,,
T350,Eyioma Uwazurike,DEN,DT,-,-,-,,
T350,Sebastian Valdez,SF,DT,-,-,-,,
T350,Antonio Valentino,FA,DT,-,-,-,,
T350,Jordan van den Berg,CHI,DT,-,-,-,,
T350,Vita Vea,TB,DT,-,-,-,Ques,Back
T350,Kendal Vickers,FA,DT,-,-,-,,
T350,Raymond Vohasek,FA,DT,-,-,-,,
T350,Deone Walker,BUF,DT,-,-,-,,
T350,Broderick Washington,BAL,DT,-,-,-,,
T350,Carlos Watkins,FA,DT,-,-,-,,
T350,Armon Watts,FA,DT,-,-,-,,
T350,Terry Webb,LAC,DT,-,-,-,,
T350,CJ West,SF,DT,-,-,-,,
T350,Tershawn Wharton,CAR,DT,-,-,-,PUP-P,Neck
T350,Christian Wilkins,FA,DT,-,-,-,Ques,Foot
T350,Andrew Williams,FA,DT,-,-,-,,
T350,Chris Williams,ATL,DT,-,-,-,,
T350,Damonic Williams,ARI,DT,-,-,-,,
T350,DeShawn Williams,FA,DT,-,-,-,,
T350,Jordan Williams,FA,DT,-,-,-,,
T350,Kristian Williams,DEN,DT,-,-,-,,
T350,McKinley Williams,FA,DT,-,-,-,,
T350,Milton Williams,NE,DT,-,-,-,,
T350,Quinnen Williams,DAL,DT,-,-,-,,
T350,Tyleik Williams,DET,DT,-,-,-,,
T350,Dion Wilson,BAL,DT,-,-,-,,
T350,Perrion Winfrey,FA,DT,-,-,-,,
T350,Mekhi Wingo,DET,DT,-,-,-,,
T350,D.J. Withers,DAL,DT,-,-,-,,
T350,Peter Woods,KC,DT,-,-,-,,
T350,Devonte Wyatt,GB,DT,-,-,-,,
T350,Byron Young,PHI,DT,-,-,-,,
T350,Cameron Young,FA,DT,-,-,-,,
T350,Jackson Acker,BUF,FB,-,-,-,,
T350,George Aston,FA,FB,-,-,-,,
T350,Jake Bargas,FA,FB,-,-,-,,
T350,Andrew Beck,NYJ,FB,-,-,-,,
T350,Max Bredeson,MIN,FB,-,-,-,,
T350,Algernon Brown,FA,FB,-,-,-,,
T350,Robert Burns,FA,FB,-,-,-,,
T350,Michael Burton,CLE,FB,-,-,-,,
T350,Jason Cabinda,FA,FB,-,-,-,,
T350,Chandler Cox,FA,FB,-,-,-,,
T350,Jeremy Cox,FA,FB,-,-,-,,
T350,Reggie Gilliam,NE,FB,-,-,-,,
T350,Garrett Groshek,FA,FB,-,-,-,,
T350,Troy Hairston,FA,FB,-,-,-,,
T350,C.J. Ham,MIN,FB,-,-,-,Reserve-Ret,Undisclosed
T350,Connor Heyward,LV,FB,-,-,439.50,,
T350,Zander Horvath,FA,FB,-,-,-,,
T350,Alec Ingold,LAC,FB,-,-,428.50,,
T350,Jakob Johnson,FA,FB,-,-,-,,
T350,Jordan Jones,FA,FB,-,-,-,,
T350,Kyle Juszczyk,SF,FB,216.00,-,-,,
T350,Corey Knox,FA,FB,-,-,-,,
T350,Brock Lampe,FA,FB,-,-,-,,
T350,Hunter Luepke,DAL,FB,-,-,-,,
T350,Scott Matlock,LAC,FB,-,-,-,,
T350,Bruce Miller,FA,FB,-,-,-,,
T350,Connor Neighbors,FA,FB,-,-,-,,
T350,Spencer Nigh,FA,FB,-,-,526.50,,
T350,Riley Nowakowski,PIT,FB,-,-,-,,
T350,Zach Ojile,FA,FB,-,-,-,,
T350,Jamize Olawale,FA,FB,-,-,-,,
T350,Ricky Ortiz,FA,FB,-,-,-,,
T350,Robbie Ouzts,SEA,FB,-,-,-,Ques,Undisclosed
T350,Derek Parish,FA,FB,-,-,-,,
T350,Henry Pearson,FA,FB,-,-,-,,
T350,Monte Pottebaum,FA,FB,-,-,-,,
T350,Adam Prentice,DEN,FB,-,-,-,,
T350,Nick Ralston,FA,FB,-,-,-,,
T350,Bronson Rechsteiner,FA,FB,-,-,-,,
T350,Patrick Ricard,NYG,FB,-,-,-,,
T350,Brady Russell,SEA,FB,-,-,-,,
T350,Lucas Scott,BAL,FB,-,-,-,,
T350,Sutton Smith,FA,FB,-,-,-,,
T350,Alstevis Squirewell,FA,FB,-,-,-,,
T350,Mason Stokke,FA,FB,-,-,-,,
T350,Chris Swain,FA,FB,-,-,-,,
T350,Carl Tucker,FA,FB,-,-,-,,
T350,Soma Vainuku,FA,FB,-,-,-,,
T350,Ben VanSumeren,BUF,FB,-,-,-,Ques,Knee
T350,Jack Westover,NE,FB,-,-,-,,
T350,Eli Wilson,FA,FB,-,-,-,,
T350,Ryan Yurachek,FA,FB,-,-,-,,
T350,Corey Acosta,FA,K,-,-,-,,
T350,Ramiz Ahmed,FA,K,-,-,-,,
T350,Matt Ammendola,FA,K,-,-,438.00,,
T350,Phillip Andersen,FA,K,-,-,-,,
